CountyState,CountyLatLong,CountyName,State,Lat,Long
"CARBON County ,WY","CARBON County ,WY,41.603221,-106.912251",CARBON County ,WY,41.603221,-106.912251
"CARIBOU County ,ID","CARIBOU County ,ID,42.753868,-111.666072",CARIBOU County ,ID,42.753868,-111.666072
"CARLISLE County ,KY","CARLISLE County ,KY,36.820669,-88.979678",CARLISLE County ,KY,36.820669,-88.979678
"CARLTON County ,MN","CARLTON County ,MN,46.561925,-92.684723",CARLTON County ,MN,46.561925,-92.684723
"CAROLINE County ,MD","CAROLINE County ,MD,38.910502,-75.853395",CAROLINE County ,MD,38.910502,-75.853395
"CAROLINE County ,VA","CAROLINE County ,VA,38.044556,-77.286488",CAROLINE County ,VA,38.044556,-77.286488
"CARROLL County ,AR","CARROLL County ,AR,36.29875,-93.500345",CARROLL County ,AR,36.29875,-93.500345
"CARROLL County ,GA","CARROLL County ,GA,33.564224,-85.064907",CARROLL County ,GA,33.564224,-85.064907
"CARROLL County ,IA","CARROLL County ,IA,42.056691,-94.810595",CARROLL County ,IA,42.056691,-94.810595
"CARROLL County ,IL","CARROLL County ,IL,42.038584,-89.96268",CARROLL County ,IL,42.038584,-89.96268
"CARROLL County ,IN","CARROLL County ,IN,40.542415,-86.540067",CARROLL County ,IN,40.542415,-86.540067
"CARROLL County ,KY","CARROLL County ,KY,38.674836,-85.064907",CARROLL County ,KY,38.674836,-85.064907
"CARROLL County ,MD","CARROLL County ,MD,39.542342,-77.056446",CARROLL County ,MD,39.542342,-77.056446
"CARROLL County ,MO","CARROLL County ,MO,39.516657,-93.500345",CARROLL County ,MO,39.516657,-93.500345
"CARROLL County ,MS","CARROLL County ,MS,33.527985,-89.925323",CARROLL County ,MS,33.527985,-89.925323
"CARROLL County ,NH","CARROLL County ,NH,43.812821,-71.250607",CARROLL County ,NH,43.812821,-71.250607
"CARROLL County ,OH","CARROLL County ,OH,40.532833,-81.075466",CARROLL County ,OH,40.532833,-81.075466
"CARROLL County ,TN","CARROLL County ,TN,35.991719,-88.401604",CARROLL County ,TN,35.991719,-88.401604
"CARROLL County ,VA","CARROLL County ,VA,36.67787,-80.721442",CARROLL County ,VA,36.67787,-80.721442
"CARSON CITY County ,NV","CARSON CITY County ,NV,33.801652,-118.190723",CARSON CITY County ,NV,33.801652,-118.190723
"CARSON County ,TX","CARSON County ,TX,35.457872,-101.433915",CARSON County ,TX,35.457872,-101.433915
"CARTER County ,KY","CARTER County ,KY,38.320471,-83.036138",CARTER County ,KY,38.320471,-83.036138
"CARTER County ,MO","CARTER County ,MO,36.907373,-90.943847",CARTER County ,MO,36.907373,-90.943847
"CARTER County ,OK","CARTER County ,OK,34.199625,-97.351656",CARTER County ,OK,34.199625,-97.351656
"CARTER County ,TN","CARTER County ,TN,36.26386,-82.12784",CARTER County ,TN,36.26386,-82.12784
"CARTERET County ,NC","CARTERET County ,NC,34.901926,-76.548823",CARTERET County ,NC,34.901926,-76.548823
"CARVER County ,MN","CARVER County ,MN,44.825431,-93.78415",CARVER County ,MN,44.825431,-93.78415
